iter	Passed	Remaining
1415	17190	79928
1416	17203	79924
1417	17217	79918
1418	17220	79866
1419	17234	79863
1420	17241	79827
1421	17255	79822
1422	17270	79820
1423	17283	79815
1424	17288	79767
1425	17301	79762
1426	17314	79754
1427	17318	79702
1428	17332	79699
1429	17345	79693
1430	17359	79688
1431	17373	79684
1432	17387	79679
1433	17400	79674
1434	17405	79627
1435	17419	79623
1436	17422	79570
1437	17435	79564
1438	17439	79515
1439	17442	79461
1440	17456	79455
1441	17467	79438
1442	17480	79432
1443	17494	79426
1444	17507	79417
1445	17522	79418
1446	17525	79366
1447	17538	79361
1448	17552	79354
1449	17556	79307
1450	17570	79303
1451	17581	79284
1452	17594	79279
1453	17608	79274
1454	17621	79267
1455	17625	79219
1456	17628	79166
1457	17633	79118
1458	17646	79111
1459	17659	79102
1460	17672	79097
1461	17686	79093
1462	17700	79089
1463	17705	79044
1464	17718	79039
1465	17732	79036
1466	17746	79030
1467	17751	78985
1468	17765	78981
1469	17769	78935
1470	17783	78930
1471	17788	78888
1472	17792	78839
1473	17806	78834
1474	17810	78787
1475	17824	78786
1476	17839	78786
1477	17853	78782
1478	17867	78777
1479	17872	78734
1480	17886	78731
1481	17890	78686
1482	17904	78681
1483	17918	78676
1484	17932	78673
1485	17936	78627
1486	17950	78621
1487	17964	78618
1488	17978	78613
1489	17991	78609
1490	17995	78560
1491	18009	78555
1492	18023	78552
1493	18028	78507
1494	18033	78465
1495	18047	78461
1496	18060	78457
1497	18074	78452
1498	18088	78448
1499	18102	78444
1500	18106	78396
1501	18110	78349
1502	18123	78343
1503	18137	78338
1504	18142	78296
1505	18147	78251
1506	18161	78248
1507	18175	78244
1508	18180	78205
1509	18194	78202
1510	18205	78184
1511	18210	78142
1512	18216	78102
1513	18221	78060
1514	18234	78054
1515	18248	78049
1516	18262	78047
1517	18269	78014
1518	18273	77966
1519	18287	77962
1520	18301	77958
1521	18315	77955
1522	18321	77917
1523	18335	77914
1524	18349	77909
1525	18363	77904
1526	18368	77865
1527	18382	77860
1528	18396	77855
1529	18400	77811
1530	18411	77793
1531	18424	77788
1532	18438	77784
1533	18446	77753
1534	18451	77713
1535	18456	77672
1536	18470	77665
1537	18480	77648
1538	18495	77645
1539	18508	77640
1540	18515	77608
1541	18521	77569
1542	18534	77562
1543	18540	77522
1544	18553	77515
1545	18558	77475
1546	18571	77466
1547	18584	77461
1548	18598	77456
1549	18605	77424
1550	18619	77418
1551	18626	77385
1552	18640	77381
1553	18653	77376
1554	18667	77372
1555	18681	77368
1556	18695	77364
1557	18709	77359
1558	18723	77355
1559	18737	77350
1560	18744	77318
1561	18758	77315
1562	18771	77309
1563	18785	77305
1564	18791	77267
1565	18795	77223
1566	18800	77182
1567	18814	77178
1568	18819	77137
1569	18833	77132
1570	18847	77127
1571	18851	77085
1572	18858	77052
1573	18863	77012
1574	18877	77008
1575	18888	76990
1576	18893	76952
1577	18907	76948
1578	18912	76908
1579	18919	76875
1580	18932	76868
1581	18937	76827
1582	18942	76787
1583	18947	76748
1584	18961	76743
1585	18975	76738
1586	18988	76732
1587	18993	76692
1588	19007	76689
1589	19014	76656
1590	19028	76653
1591	19035	76621
1592	19049	76615
1593	19063	76610
1594	19076	76606
1595	19089	76598
1596	19103	76594
1597	19108	76553
1598	19121	76546
1599	19135	76542
1600	19140	76503
1601	19147	76471
1602	19152	76431
1603	19166	76428
1604	19180	76424
1605	19194	76418
1606	19207	76411
1607	19221	76409
1608	19236	76406
1609	19250	76402
1610	19254	76360
1611	19268	76354
1612	19271	76310
1613	19276	76269
1614	19280	76226
1615	19285	76188
1616	19289	76144
1617	19303	76141
1618	19318	76140
1619	19322	76097
1620	19336	76093
1621	19341	76055
1622	19344	76008
1623	19358	76004
1624	19372	75999
1625	19377	75959
1626	19390	75954
1627	19404	75947
1628	19417	75941
1629	19421	75897
1630	19434	75891
1631	19448	75887
1632	19453	75847
1633	19466	75841
1634	19471	75800
1635	19483	75791
1636	19498	75788
1637	19511	75783
1638	19516	75744
1639	19530	75741
1640	19544	75737
1641	19556	75724
1642	19569	75718
1643	19583	75713
1644	19597	75710
1645	19611	75705
1646	19625	75700
1647	19630	75664
1648	19644	75659
1649	19658	75654
1650	19671	75647
1651	19684	75641
1652	19698	75637
1653	19712	75631
1654	19726	75627
1655	19739	75621
1656	19754	75618
1657	19768	75615
1658	19781	75609
1659	19795	75604
1660	19809	75601
1661	19814	75562
1662	19828	75558
1663	19842	75554
1664	19849	75523
1665	19863	75518
1666	19877	75513
